Date,RW2,RW3/RW1
44021.93611,4.93698,4.60325
44021.94653,4.91962,4.54268
44021.95694,4.90403,4.49662
44021.96736,4.89678,4.45803
44021.97778,4.89106,4.42864
44021.98819,4.89388,4.40278
44021.99861,4.8988,4.38372
44022.00903,4.90209,4.36901
44022.01944,4.90793,4.35688
44022.02986,4.92149,4.35128
44022.04028,4.93574,4.34825
44022.05069,4.95181,4.34416
44022.06111,4.96455,4.34463
44022.07153,4.98871,4.34893
44022.08194,5.01049,4.35416
44022.09236,5.03471,4.36062
44022.10278,5.06021,4.36875
44022.11319,5.08535,4.37491
44022.12361,5.11369,4.38852
44022.13403,5.14562,4.39843
44022.14444,5.17165,4.40898
44022.15486,5.19639,4.4149
44022.16528,5.21797,4.42449
44022.17569,5.24436,4.43136
44022.18611,5.26777,4.43998
44022.19653,5.29798,4.45731
44022.20694,5.33145,4.47673
44022.21736,5.35818,4.49652
44022.22778,5.38442,4.5174
44022.23819,5.41796,4.54326
44022.24861,5.44835,4.5679
44022.25903,5.48249,4.59229
44022.26944,5.52005,4.62118
44022.27986,5.57392,4.66569
44022.29028,5.70966,4.78358
44022.30069,5.97349,5.02841
44022.31111,6.3825,5.38907
44022.32153,6.94671,5.92413
44022.33194,7.3367,6.30389
44022.34236,7.99911,6.98353
44022.35278,8.96205,7.93804
44022.36319,10.0874,9.08944
44022.37361,11.1853,10.2378
44022.38403,12.207,11.3012
44022.39444,13.174,12.444
44022.40486,14.117,13.5309
44022.41528,14.6172,14.1774
44022.42569,15.3799,15.0885
44022.43611,16.0811,15.8942
44022.44653,16.3567,16.3162
44022.45694,16.3797,16.4674
44022.46736,16.8369,17.0016
44022.47778,17.2028,17.4418
44022.48819,17.2579,17.5822
44022.49861,17.1668,17.5797
44022.50903,17.3878,17.8387
44022.51944,17.4782,17.9517
44022.52986,17.6525,18.1329
44022.54028,17.5696,18.0647
44022.55069,17.27,17.8269
44022.56111,16.9855,17.564
44022.57153,16.7291,17.3079
44022.58194,16.5405,17.1141
44022.59236,16.222,16.7989
44022.60278,15.8484,16.4436
44022.61319,15.4984,16.1026
