RW2,,,RW1,RW3/RW1,,,RW2 Overflow,,,RW3 Overflow,,,Days since start up
,Total ,Soluble,,Total ,Soluble,,Total ,Soluble,,Total ,Soluble,,0
44340,232,35,,245,27,,,,,,,,
44342,245,60,,248,60,,,,,,,,
44344,283,54,,257,63,,,,,,,,
44347,344,60,,288,71,,,,,,,,
44349,305,57,,243,58,,,,,,,,
44351,314,54,,189,59,,,,,,,,
44354,388,55,,164,48,,,,,,,,
44356,245,93,,136,67,,,,,,,,
44358,189,65,,139,53,,,,,,,,
44361,183,92,,183,64,,,,,,,,
44363,159,93,,185,72,,,,,,,,
44365,175,94,,189,97,,,,,,,,
44368,173,73,,210,93,,,,,,,,
44370,144,69,,171,89,,,,,,,,
44372,155,84,,181,74,,,,,,,,
44375,181,78,,174,76,,,,,,,,
44377,216,75,,194,87,,,,,,,,
44379,198,68,,170,79,,,,,,,,
44382,212,83,,185,81,,,,,,,,
44384,189,55,,181,63,,,,,,,,
44386,179,53,,169,50,,,,,,,,
44389,172,20,,181,31,,,,,,,,
44391,147,26,,189,42,,,,,,,,
44393,175,28,,182,21,,,,,,,,
44396,291,59,,276,45,,,,,,,,
44398,,,,,,,,,,,,,
