Date,RW2,RW3/RW1
44015.99861,17.4256,17.5203
44016.00903,17.337,17.4317
44016.01944,17.2279,17.3253
44016.02986,17.1108,17.2068
44016.04028,17.0032,17.0977
44016.05069,16.9011,16.9956
44016.06111,16.8031,16.899
44016.07153,16.7147,16.8118
44016.08194,16.6344,16.7329
44016.09236,16.5583,16.6581
44016.10278,16.4699,16.5711
44016.11319,16.3394,16.4406
44016.12361,16.1996,16.2979
44016.13403,16.0407,16.1376
44016.14444,15.8615,15.9543
44016.15486,15.6526,15.7426
44016.16528,15.4221,15.5053
44016.17569,15.2174,15.2965
44016.18611,15.0426,15.1216
44016.19653,14.8705,14.9469
44016.20694,14.7121,14.7898
44016.21736,14.5536,14.6313
44016.22778,14.3912,14.4688
44016.23819,14.222,14.2969
44016.24861,14.0257,14.0979
44016.25903,13.824,13.8962
44016.26944,13.5981,13.6675
44016.27986,13.3666,13.432
44016.29028,13.1244,13.1857
44016.30069,12.9065,12.961
44016.31111,12.6939,12.7363
44016.32153,12.4976,12.5115
44016.33194,12.3256,12.3734
44016.34236,12.224,12.2908
44016.35278,12.2295,12.2989
44016.36319,12.3134,12.3883
44016.37361,12.4773,12.5616
44016.38403,12.7047,12.7959
44016.39444,12.9823,13.0801
44016.40486,13.3166,13.4239
44016.41528,13.6887,13.8029
44016.42569,14.0853,14.2103
44016.43611,14.4846,14.6137
44016.44653,14.8705,15.0011
44016.45694,15.2431,15.3792
44016.46736,15.62,15.7589
44016.47778,16.004,16.1403
44016.48819,16.3843,16.5154
44016.49861,16.7119,16.8391
44016.50903,16.9991,17.1182
44016.51944,17.2102,17.3199
44016.52986,17.3615,17.4576
44016.54028,17.4583,17.5367
44016.55069,17.5047,17.5613
44016.56111,17.4447,17.4821
44016.57153,17.3943,17.418
44016.58194,17.3452,17.358
44016.59236,17.2416,17.2449
44016.60278,17.1462,17.1427
44016.61319,17.0454,17.0392
44016.62361,16.9188,16.9099
44016.63403,16.7473,16.7779
44016.64444,16.4835,16.5222
44016.65486,16.2321,16.268
44016.66528,16.0027,16.0412
44016.67569,15.7815,15.8186
44016.68611,15.5305,15.5663
44016.69653,15.2865,15.3223
44016.70694,15.0697,15.1068
44016.71736,14.8651,14.9049
44016.72778,14.6349,14.6774
44016.73819,14.3844,14.4282
44016.74861,14.1475,14.1873
44016.75903,13.9026,13.9395
44016.76944,13.7158,13.7555
44016.77986,13.5372,13.5782
44016.79028,13.3436,13.3846
44016.80069,13.1433,13.1857
44016.81111,12.9457,12.9854
44016.82153,12.7576,12.7972
44016.83194,12.5897,12.628
44016.84236,12.4136,12.4519
44016.85278,12.2376,12.2745
44016.86319,12.0858,12.1228
44016.87361,11.9178,11.9534
44016.88403,11.7578,11.7921
44016.89444,11.5681,11.6023
44016.90486,11.3985,11.4287
44016.91528,11.2384,11.2685
44016.92569,11.0836,11.1125
44016.93611,10.9206,10.9495
44016.94653,10.7617,10.7932
44016.95694,10.6122,10.6478
44016.96736,10.4585,10.4982
44016.97778,10.317,10.3608
44016.98819,10.1754,10.2234
44016.99861,10.0474,10.1021
44017.00903,9.91931,9.9809
44017.01944,9.79797,9.86505
44017.02986,9.67657,9.74777
44017.04028,9.54834,9.625
44017.05069,9.43091,9.51443
44017.06111,9.31342,9.39972
44017.07153,9.19858,9.28906
44017.08194,9.0878,9.18106
44017.09236,8.97974,9.08258
44017.10278,8.87708,8.98132
44017.11319,8.76749,8.87592
44017.12361,8.65375,8.76358
44017.13403,8.54404,8.65805
44017.14444,8.43427,8.55249
44017.15486,8.32031,8.44272
44017.16528,8.21176,8.33426
44017.17569,8.10184,8.22845
44017.18611,7.99313,8.12399
44017.19653,7.88165,8.01398
44017.20694,7.77145,7.90796
44017.21736,7.67084,7.81018
44017.22778,7.56738,7.71097
44017.23819,7.46661,7.6131
44017.24861,7.36859,7.51651
44017.25903,7.27188,7.42261
44017.26944,7.17227,7.32593
44017.27986,7.07404,7.23053
44017.29028,6.98679,7.14474
44017.30069,6.91339,7.07141
44017.31111,6.85516,7.00217
44017.32153,6.82602,6.94815
44017.33194,6.81354,6.96198
44017.34236,6.86484,7.03403
44017.35278,7.0159,7.1904
44017.36319,7.2442,7.42123
44017.37361,7.54257,7.71924
44017.38403,7.89267,8.07309
44017.39444,8.30246,8.48938
44017.40486,8.75381,8.94986
44017.41528,9.25055,9.45435
44017.42569,9.76523,9.97546
44017.43611,10.3034,10.5186
44017.44653,10.8283,11.05
44017.45694,11.3496,11.5765
44017.46736,11.8758,12.1038
44017.47778,12.3947,12.6266
44017.48819,12.8875,13.1194
44017.49861,13.3477,13.5755
44017.50903,13.7659,13.9883
44017.51944,14.1556,14.3767
44017.52986,14.5306,14.7397
44017.54028,14.8421,15.0431
44017.55069,15.0683,15.2585
44017.56111,15.1713,15.3629
44017.57153,15.2472,15.428
44017.58194,15.3841,15.5555
44017.59236,15.5414,15.7101
44017.60278,15.6539,15.8281
44017.61319,15.7204,15.896
44017.62361,15.7543,15.9353
44017.63403,15.7394,15.934
