Date,RW2,RW3/RW1
44017.97778,7.5998,7.30579
44017.98819,7.59212,7.3014
44017.99861,7.58445,7.29588
44018.00903,7.57792,7.29263
44018.01944,7.5714,7.29051
44018.02986,7.56598,7.28725
44018.04028,7.56165,7.28622
44018.05069,7.55619,7.28406
44018.06111,7.55409,7.28302
44018.07153,7.5486,7.28198
44018.08194,7.54654,7.28095
44018.09236,7.54448,7.2788
44018.10278,7.54242,7.27778
44018.11319,7.53923,7.27562
44018.12361,7.54055,7.27685
44018.13403,7.54073,7.27807
44018.14444,7.53977,7.28042
44018.15486,7.54109,7.28165
44018.16528,7.5424,7.28288
44018.17569,7.54258,7.28636
44018.18611,7.54389,7.28646
44018.19653,7.5452,7.28882
44018.20694,7.54651,7.2923
44018.21736,7.55008,7.29466
44018.22778,7.55251,7.29701
44018.23819,7.55493,7.30049
44018.24861,7.55734,7.30283
44018.25903,7.55748,7.30517
44018.26944,7.56103,7.30751
44018.27986,7.56453,7.3121
44018.29028,7.56916,7.31782
44018.30069,7.57949,7.32808
44018.31111,7.59434,7.33947
44018.32153,7.61937,7.35651
44018.33194,7.64325,7.38485
44018.34236,7.67953,7.42106
44018.35278,7.72923,7.46735
44018.36319,7.78101,7.52369
44018.37361,7.84048,7.58663
44018.38403,7.89173,7.6629
44018.39444,7.94505,7.73892
44018.40486,8.0173,7.83148
44018.41528,8.07795,7.92381
44018.42569,8.14276,8.0134
44018.43611,8.18363,8.09364
44018.44653,8.22542,8.16012
44018.45694,8.25694,8.20734
44018.46736,8.29286,8.25996
44018.47778,8.36454,8.29801
44018.48819,8.38801,8.33932
44018.49861,8.40256,8.36283
44018.50903,8.42058,8.38528
44018.51944,8.43755,8.41335
44018.52986,8.44919,8.42502
44018.54028,8.46103,8.4358
44018.55069,8.46639,8.44121
44018.56111,8.4697,8.44352
44018.57153,8.47322,8.44929
44018.58194,8.47257,8.4443
44018.59236,8.47321,8.43946
44018.60278,8.46847,8.43036
44018.61319,8.4649,8.42462
44018.62361,8.4538,8.40473
44018.63403,8.43188,8.37613
44018.64444,8.39154,8.32701
44018.65486,8.35776,8.27233
44018.66528,8.31956,8.21984
44018.67569,8.28142,8.15525
44018.68611,8.21542,8.09491
44018.69653,8.16047,8.02349
44018.70694,8.11219,7.94543
44018.71736,8.05609,7.8695
44018.72778,7.99767,7.78904
44018.73819,7.94919,7.71405
44018.74861,7.89513,7.64565
44018.75903,7.84878,7.58827
44018.76944,7.80683,7.54303
44018.77986,7.76261,7.49774
44018.79028,7.7395,7.45909
44018.80069,7.69302,7.4315
44018.81111,7.66986,7.40611
44018.82153,7.64112,7.37737
44018.83194,7.61797,7.35864
44018.84236,7.59259,7.33878
44018.85278,7.56498,7.32448
44018.86319,7.55518,7.30683
44018.87361,7.52865,7.29473
44018.88403,7.5155,7.28373
44018.89444,7.50344,7.27495
44018.90486,7.50813,7.26616
44018.91528,7.49493,7.25959
44018.92569,7.48397,7.25302
44018.93611,7.47748,7.24867
44018.94653,7.47433,7.24432
44018.95694,7.46891,7.24106
44018.96736,7.46238,7.23669
44018.97778,7.45695,7.23455
44018.98819,7.45153,7.22905
44018.99861,7.44836,7.22467
44019.00903,7.44405,7.22029
44019.01944,7.44087,7.21367
44019.02986,7.43656,7.21152
44019.04028,7.43449,7.21049
44019.05069,7.43241,7.20945
44019.06111,7.43034,7.20953
44019.07153,7.42938,7.20737
44019.08194,7.42953,7.20744
44019.09236,7.42855,7.21312
44019.10278,7.4287,7.21207
44019.11319,7.42997,7.21214
44019.12361,7.43013,7.2111
44019.13403,7.43141,7.21118
44019.14444,7.4327,7.20901
44019.15486,7.43511,7.21133
44019.16528,7.43639,7.2114
44019.17569,7.43766,7.21597
44019.18611,7.43895,7.21717
44019.19653,7.44136,7.21838
44019.20694,7.44264,7.21845
44019.21736,7.44618,7.22077
44019.22778,7.44858,7.22423
44019.23819,7.45212,7.21979
44019.24861,7.4534,7.22325
44019.25903,7.45693,7.22444
44019.26944,7.45934,7.2279
44019.27986,7.46401,7.23248
44019.29028,7.4698,7.23481
44019.30069,7.47786,7.24278
44019.31111,7.49381,7.25526
44019.32153,7.51538,7.26772
44019.33194,7.5358,7.29258
44019.34236,7.56743,7.32415
44019.35278,7.61135,7.36691
44019.36319,7.65963,7.41521
44019.37361,7.71452,7.47238
44019.38403,7.77596,7.53951
44019.39444,7.84506,7.61991
44019.40486,7.91723,7.709
44019.41528,7.98798,7.80003
44019.42569,8.02812,7.8941
44019.43611,8.08268,7.96435
